id,company_id,name,price,created_at
1,1,Product 1,9.99,2024-01-01 00:00:00
2,2,Product 2,10.99,2024-01-01 00:00:00
3,3,Product 3,11.99,2024-01-01 00:00:00
4,4,Product 4,12.99,2024-01-01 00:00:00
5,5,Product 5,13.99,2024-01-01 00:00:00
6,6,Product 6,14.99,2024-01-01 00:00:00
7,7,Product 7,15.99,2024-01-01 00:00:00
8,8,Product 8,16.99,2024-01-01 00:00:00
9,9,Product 9,17.99,2024-01-01 00:00:00
10,10,Product 10,18.99,2024-01-01 00:00:00
11,11,Product 11,19.99,2024-01-01 00:00:00
12,12,Product 12,20.99,2024-01-01 00:00:00
13,13,Product 13,21.99,2024-01-01 00:00:00
14,14,Product 14,22.99,2024-01-01 00:00:00
15,15,Product 15,23.99,2024-01-01 00:00:00
16,16,Product 16,24.99,2024-01-01 00:00:00
17,17,Product 17,25.99,2024-01-01 00:00:00
18,18,Product 18,26.99,2024-01-01 00:00:00
19,19,Product 19,27.99,2024-01-01 00:00:00
20,20,Product 20,28.99,2024-01-01 00:00:00
21,21,Product 21,29.99,2024-01-01 00:00:00
22,22,Product 22,30.99,2024-01-01 00:00:00
23,23,Product 23,31.99,2024-01-01 00:00:00
24,24,Product 24,32.99,2024-01-01 00:00:00
25,25,Product 25,33.99,2024-01-01 00:00:00
26,26,Product 26,34.99,2024-01-01 00:00:00
27,27,Product 27,35.99,2024-01-01 00:00:00
28,28,Product 28,36.99,2024-01-01 00:00:00
29,29,Product 29,37.99,2024-01-01 00:00:00
30,30,Product 30,38.99,2024-01-01 00:00:00
31,31,Product 31,39.99,2024-01-01 00:00:00
32,32,Product 32,40.99,2024-01-01 00:00:00
33,33,Product 33,41.99,2024-01-01 00:00:00
34,34,Product 34,42.99,2024-01-01 00:00:00
35,35,Product 35,43.99,2024-01-01 00:00:00
36,36,Product 36,44.99,2024-01-01 00:00:00
37,37,Product 37,45.99,2024-01-01 00:00:00
38,38,Product 38,46.99,2024-01-01 00:00:00
39,39,Product 39,47.99,2024-01-01 00:00:00
40,40,Product 40,48.99,2024-01-01 00:00:00
41,41,Product 41,49.99,2024-01-01 00:00:00
42,42,Product 42,50.99,2024-01-01 00:00:00
43,43,Product 43,51.99,2024-01-01 00:00:00
44,44,Product 44,52.99,2024-01-01 00:00:00
45,45,Product 45,53.99,2024-01-01 00:00:00
46,46,Product 46,54.99,2024-01-01 00:00:00
47,47,Product 47,55.99,2024-01-01 00:00:00
48,48,Product 48,56.99,2024-01-01 00:00:00
49,49,Product 49,57.99,2024-01-01 00:00:00
50,50,Product 50,58.99,2024-01-01 00:00:00
51,1,Product 51,59.99,2024-01-01 00:00:00
52,2,Product 52,60.99,2024-01-01 00:00:00
