id,user_id,total,created_at
1,1,0.00,2024-01-01 00:00:00
2,2,0.00,2024-01-01 00:00:00
3,3,0.00,2024-01-01 00:00:00
4,4,0.00,2024-01-01 00:00:00
5,5,0.00,2024-01-01 00:00:00
6,6,0.00,2024-01-01 00:00:00
7,7,0.00,2024-01-01 00:00:00
8,8,0.00,2024-01-01 00:00:00
9,9,0.00,2024-01-01 00:00:00
10,10,0.00,2024-01-01 00:00:00
11,1,0.00,2024-01-01 00:00:00
12,2,0.00,2024-01-01 00:00:00
13,3,0.00,2024-01-01 00:00:00
14,4,0.00,2024-01-01 00:00:00
15,5,0.00,2024-01-01 00:00:00
16,6,0.00,2024-01-01 00:00:00
17,7,0.00,2024-01-01 00:00:00
18,8,0.00,2024-01-01 00:00:00
19,9,0.00,2024-01-01 00:00:00
20,10,0.00,2024-01-01 00:00:00
21,1,0.00,2024-01-01 00:00:00
22,2,0.00,2024-01-01 00:00:00
23,3,0.00,2024-01-01 00:00:00
24,4,0.00,2024-01-01 00:00:00
25,5,0.00,2024-01-01 00:00:00
26,6,0.00,2024-01-01 00:00:00
27,7,0.00,2024-01-01 00:00:00
28,8,0.00,2024-01-01 00:00:00
29,9,0.00,2024-01-01 00:00:00
30,10,0.00,2024-01-01 00:00:00
31,1,0.00,2024-01-01 00:00:00
32,2,0.00,2024-01-01 00:00:00
33,3,0.00,2024-01-01 00:00:00
34,4,0.00,2024-01-01 00:00:00
35,5,0.00,2024-01-01 00:00:00
36,6,0.00,2024-01-01 00:00:00
37,7,0.00,2024-01-01 00:00:00
38,8,0.00,2024-01-01 00:00:00
39,9,0.00,2024-01-01 00:00:00
40,10,0.00,2024-01-01 00:00:00
41,1,0.00,2024-01-01 00:00:00
42,2,0.00,2024-01-01 00:00:00
43,3,0.00,2024-01-01 00:00:00
44,4,0.00,2024-01-01 00:00:00
45,5,0.00,2024-01-01 00:00:00
46,6,0.00,2024-01-01 00:00:00
47,7,0.00,2024-01-01 00:00:00
48,8,0.00,2024-01-01 00:00:00
49,9,0.00,2024-01-01 00:00:00
50,10,0.00,2024-01-01 00:00:00
